Store,Dept,Date,Weekly_Sales,IsHoliday
1,1,2011-10-28,31579.9,False
1,1,2011-11-04,39886.06,False
1,1,2011-11-11,18689.54,False
1,1,2011-11-18,19050.66,False
1,1,2011-11-25,20911.25,True
1,1,2011-12-02,25293.49,False
1,1,2011-12-09,33305.92,False
1,1,2011-12-16,45773.03,False
1,1,2011-12-23,46788.75,False
1,1,2011-12-30,23350.88,True
1,1,2012-01-06,16567.69,False
1,1,2012-01-13,16894.4,False
1,1,2012-01-20,18365.1,False
1,1,2012-01-27,18378.16,False
1,1,2012-02-03,23510.49,False
1,1,2012-02-10,36988.49,True
1,1,2012-02-17,54060.1,False
1,1,2012-02-24,20124.22,False
1,1,2012-03-02,20113.03,False
1,1,2012-03-09,21140.07,False
1,1,2012-03-16,22366.88,False
1,1,2012-03-23,22107.7,False
1,1,2012-03-30,28952.86,False
1,1,2012-04-06,57592.12,False
1,1,2012-04-13,34684.21,False
1,1,2012-04-20,16976.19,False
1,1,2012-04-27,16347.6,False
1,1,2012-05-04,17147.44,False
1,1,2012-05-11,18164.2,False
1,1,2012-05-18,18517.79,False
1,1,2012-05-25,16963.55,False
1,1,2012-06-01,16065.49,False
1,1,2012-06-08,17666.0,False
1,1,2012-06-15,17558.82,False
1,1,2012-06-22,16633.41,False
1,1,2012-06-29,15722.82,False
1,1,2012-07-06,17823.37,False
1,1,2012-07-13,16566.18,False
1,1,2012-07-20,16348.06,False
1,1,2012-07-27,15731.18,False
1,1,2012-08-03,16628.31,False
1,1,2012-08-10,16119.92,False
1,1,2012-08-17,17330.7,False
1,1,2012-08-24,16286.4,False
1,1,2012-08-31,16680.24,False
1,1,2012-09-07,18322.37,True
1,1,2012-09-14,19616.22,False
1,1,2012-09-21,19251.5,False
1,1,2012-09-28,18947.81,False
1,1,2012-10-05,21904.47,False
1,1,2012-10-12,22764.01,False
1,1,2012-10-19,24185.27,False
1,1,2012-10-26,27390.81,False
40,55,2011-10-28,7925.73,False
40,55,2011-11-04,6991.05,False
40,55,2011-11-11,14829.16,False
40,55,2011-11-18,11307.1,False
40,55,2011-11-25,30145.66,True
40,55,2011-12-02,13799.56,False
40,55,2011-12-09,14576.77,False
40,55,2011-12-16,18285.28,False
40,55,2011-12-23,32471.76,False
40,55,2011-12-30,19177.41,True
40,55,2012-01-06,8272.07,False
40,55,2012-01-13,6565.63,False
40,55,2012-01-20,5309.6,False
40,55,2012-01-27,5818.78,False
40,55,2012-02-03,9496.78,False
40,55,2012-02-10,10346.45,True
40,55,2012-02-17,11229.98,False
40,55,2012-02-24,9852.04,False
40,55,2012-03-02,8687.44,False
40,55,2012-03-09,9892.37,False
40,55,2012-03-16,7724.53,False
40,55,2012-03-23,5553.29,False
40,55,2012-03-30,6590.0,False
40,55,2012-04-06,9130.16,False
40,55,2012-04-13,6658.31,False
40,55,2012-04-20,6085.22,False
40,55,2012-04-27,4876.74,False
40,55,2012-05-04,5902.73,False
40,55,2012-05-11,4638.31,False
40,55,2012-05-18,5388.06,False
40,55,2012-05-25,4409.67,False
40,55,2012-06-01,5019.18,False
40,55,2012-06-08,6065.92,False
40,55,2012-06-15,5070.08,False
40,55,2012-06-22,4946.41,False
40,55,2012-06-29,5362.98,False
40,55,2012-07-06,6307.42,False
40,55,2012-07-13,5259.06,False
40,55,2012-07-20,5049.2,False
40,55,2012-07-27,5358.6,False
40,55,2012-08-03,5903.44,False
40,55,2012-08-10,5518.74,False
40,55,2012-08-17,5498.32,False
40,55,2012-08-24,4530.04,False
40,55,2012-08-31,4851.0,False
40,55,2012-09-07,5391.09,True
40,55,2012-09-14,4738.8,False
40,55,2012-09-21,4737.36,False
40,55,2012-09-28,4593.44,False
40,55,2012-10-05,5692.76,False
40,55,2012-10-12,6023.6,False
40,55,2012-10-19,5804.34,False
40,55,2012-10-26,7460.95,False
